"","PLAYER_ID","SEASON_ID","LEAGUE_ID","TEAM_ID","TEAM_ABBREVIATION","PLAYER_AGE","GP","GS","MIN","FGM","FGA","FG_PCT","FG3M","FG3A","FG3_PCT","FTM","FTA","FT_PCT","OREB","DREB","REB","AST","STL","BLK","TOV","PF","PTS"
"1","203460","2013-14","00","1610612760","OKC","22","40","16","399","33","68","0.485","2","13","0.154","7","10","0.7","36","58","94","15","19","10","19","74","75"
"2","203460","2014-15","00","1610612760","OKC","23","67","65","1286","92","201","0.458","21","85","0.247","23","48","0.479","60","195","255","70","53","29","46","141","228"
"3","203460","2015-16","00","1610612760","OKC","24","70","70","1553","136","274","0.496","32","103","0.311","33","54","0.611","79","172","251","47","53","42","35","133","337"
